name
Janet Gaynor
Mary Pickford
Norma Shearer
Marie Dressler
Helen Hayes
Katharine Hepburn
Claudette Colbert
Bette Davis
Luise Rainer
Luise Rainer
Bette Davis
Vivien Leigh
Ginger Rogers
Joan Fontaine
Greer Garson
Jennifer Jones
Ingrid Bergman
Joan Crawford
Olivia de Havilland
Loretta Young
Jane Wyman
Olivia de Havilland
Judy Holliday
Vivien Leigh
Shirley Booth
Audrey Hepburn
Grace Kelly
Anna Magnani
Ingrid Bergman
Joanne Woodward
Susan Hayward
Simone Signoret
Elizabeth Taylor
Sophia Loren
Anne Bancroft
Patricia Neal
Julie Andrews
Julie Christie
Elizabeth Taylor
Katharine Hepburn
Katharine Hepburn
Barbra Streisand
Maggie Smith
Glenda Jackson
Jane Fonda
Liza Minnelli
Glenda Jackson
Ellen Burstyn
Louise Fletcher
Faye Dunaway
Diane Keaton
Jane Fonda
Sally Field
Sissy Spacek
Katharine Hepburn
Meryl Streep
Shirley MacLaine
Sally Field
Geraldine Page
Marlee Matlin
Cher
Jodie Foster
Jessica Tandy
Kathy Bates
Jodie Foster
Emma Thompson
Holly Hunter
Jessica Lange
Susan Sarandon
Frances McDormand
Helen Hunt
Gwyneth Paltrow
Hilary Swank
Julia Roberts
Halle Berry
Nicole Kidman
Charlize Theron
Hilary Swank
Reese Witherspoon
Helen Mirren
Marion Cotillard
Kate Winslet
Sandra Bullock
Natalie Portman
Meryl Streep
Jennifer Lawrence
Cate Blanchett
Julianne Moore
