position,const,created,modified,description,Title,Title type,Directors,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
1,tt2562232,Fri Feb 27 09:14:57 2015,Fri Feb 27 09:14:57 2015,,Birdman: Or (The Unexpected Virtue of Ignorance),Feature Film,Alejandro G. IÃ±Ã¡rritu,8,119,2014,"comedy, drama",227469,8/27/14,http://www.imdb.com/title/tt2562232/
2,tt2024544,Fri Feb 27 09:12:44 2015,Fri Feb 27 09:12:44 2015,,12 Years a Slave,Feature Film,Steve McQueen,8.1,134,2013,"biography, drama, history",325799,8/30/13,http://www.imdb.com/title/tt2024544/
3,tt1024648,Sun Feb 24 22:00:24 2013,Sun Feb 24 22:00:24 2013,,Argo,Feature Film,Ben Affleck,7.8,120,2012,"drama, thriller",382108,8/31/12,http://www.imdb.com/title/tt1024648/
4,tt1655442,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Artist,Feature Film,Michel Hazanavicius,8,100,2011,"comedy, drama, romance",168849,5/15/11,http://www.imdb.com/title/tt1655442/
5,tt1504320,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The King's Speech,Feature Film,Tom Hooper,8.1,118,2010,"biography, drama, history",407822,9/6/10,http://www.imdb.com/title/tt1504320/
6,tt0887912,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Hurt Locker,Feature Film,Kathryn Bigelow,7.6,131,2008,"drama, thriller, war",283437,9/4/08,http://www.imdb.com/title/tt0887912/
7,tt1010048,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Slumdog Millionaire,Feature Film,"Danny Boyle, Loveleen Tandan",8,120,2008,"drama, romance",557930,8/30/08,http://www.imdb.com/title/tt1010048/
8,tt0477348,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,No Country for Old Men,Feature Film,"Ethan Coen, Joel Coen",8.1,122,2007,"crime, drama, thriller",514721,5/19/07,http://www.imdb.com/title/tt0477348/
9,tt0407887,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,The Departed,Feature Film,Martin Scorsese,8.5,151,2006,"crime, drama, thriller",723173,9/26/06,http://www.imdb.com/title/tt0407887/
10,tt0375679,Thu Jul 19 11:09:06 2012,Thu Jul 19 11:09:06 2012,,Crash,Feature Film,Paul Haggis,7.9,112,2004,drama,332235,9/10/04,http://www.imdb.com/title/tt0375679/
