"title_imdb","title_type_imdb","directors_imdb","imdb_rating_imdb","runtime_imdb","year_imdb","num_votes_imdb","rel_date_imdb","url_imdb","id_imdb","title_rt","year_rt","genre_rt","mpaa_rating_rt","runtime_rt","the_rel_date_rt","dvd_rel_date_rt","critics_score_rt","critics_rating_rt","audience_score_rt","audience_rating_rt","actor1_rt","actor2_rt","actor3_rt","actor4_rt","actor5_rt","director_rt","studio_rt","url_rt"
"Pushing Hands","Feature Film","Ang Lee",7.3,105,"1992",2407,"1992-02","http://www.imdb.com/title/tt0105652/","0105652","Tui shou (Pushing Hands)","1995","Drama","Unrated","105","1995-06-02","1996-01-23",-1,NA,81,"Upright","Sihung Lung","Pamela Yang","Bo Z. Wang","Deb Snyder","Wong Lai","Ang Lee",NA,"//www.rottentomatoes.com/m/tui_shou/"
"Filly Brown","Feature Film","Youssef Delara, Michael D. Olmos",5.5,80,"2012",899,"2012-01-20","http://www.imdb.com/title/tt1869425/","1869425","Filly Brown","2013","Drama","R","100","2013-04-19","2013-07-30",45,"Rotten",73,"Upright","Gina Rodriguez","Jenni Rivera","Lou Diamond Phillips","Emilio Rivera","Joseph Julian Soria","Michael D. Olmos","Indomina Media Inc.","//www.rottentomatoes.com/m/filly_brown_2012/"
"The Force of Evil","TV Movie","Richard Lang",7.4,100,"1977",65,"1977-03-13","http://www.imdb.com/title/tt0285569/","0285569","The Force of Evil","1977","Drama","Unrated","100",NA,NA,-1,NA,0,NA,"John Anderson","William Watson","Patricia Crowley","Eve Plumb","Pat Crowley","Richard Lang",NA,"//www.rottentomatoes.com/m/the_force_of_evil/"
"The Dish","Feature Film","Rob Sitch",7.3,101,"2000",12285,"2000-09-15","http://www.imdb.com/title/tt0205873/","0205873","The Dish","2001","Drama","PG-13","101","2001-03-14","2001-08-28",96,"Certified Fresh",81,"Upright","Sam Neill","Kevin Harrington","Patrick Warburton","Tom Long","Genevieve Mooy","Rob Sitch","Warner Bros. Pictures","//www.rottentomatoes.com/m/dish/"
"Waiting for Guffman","Feature Film","Christopher Guest",7.6,84,"1996",22381,"1996-08-21","http://www.imdb.com/title/tt0118111/","0118111","Waiting for Guffman","1996","Comedy","R","84","1996-08-21","2001-08-21",91,"Certified Fresh",91,"Upright","Christopher Guest","Catherine O'Hara","Parker Posey","Eugene Levy","Bob Balaban","Christopher Guest","Sony Pictures Classics","//www.rottentomatoes.com/m/waiting_for_guffman/"
"The Age of Innocence","Feature Film","Martin Scorsese",7.2,139,"1993",35096,"1993-08-31","http://www.imdb.com/title/tt0106226/","0106226","The Age of Innocence","1993","Drama","PG","138","1993-10-01","2001-11-06",80,"Certified Fresh",76,"Upright","Daniel Day-Lewis","Michelle Pfeiffer","Winona Ryder","Richard E. Grant","Alec McCowen","Martin Scorsese","Columbia Pictures","//www.rottentomatoes.com/m/age_of_innocence/"
"Something Evil","TV Movie","Steven Spielberg",5.6,73,"1972",929,"1972-01-21","http://www.imdb.com/title/tt0069298/","0069298","Something Evil","1972","Horror","Unrated","73","1972-01-21",NA,-1,NA,20,"Spilled","Sandy Dennis","Darren McGavin","Ralph Bellamy","Jeff Corey","Johnny Whitaker","Steven Spielberg","CBS","//www.rottentomatoes.com/m/something_evil/"
"The Millionaire Tour","Feature Film","Inon Shampanier",6.4,84,"2012",2196,"2012-03-30","http://www.imdb.com/title/tt1937388/","1937388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dive!","Documentary","Jeremy Seifert",7.4,45,"2010",247,"2010-02-05","http://www.imdb.com/title/tt1490637/","1490637","Dive!","2010","Documentary","PG","55",NA,"2011-07-19",-1,NA,89,"Upright",NA,NA,NA,NA,NA,"Jeremy Seifert",NA,"//www.rottentomatoes.com/m/dive_2010/"
"Malevolence","Feature Film","Stevan Mena",5.1,90,"2003",2386,"2003","http://www.imdb.com/title/tt0388230/","0388230","Malevolence","2004","Horror","R","85","2004-09-10","2005-04-19",33,"Rotten",27,"Spilled","Samantha Dark","R. Brandon Johnson","Brandon Johnson","Heather Magee","Richard Glover","Stevan Mena","Anchor Bay Entertainment","//www.rottentomatoes.com/m/10004684-malevolence/"
