"title","title_type","directors","imdb_rating","runtime","year","num_votes","rel_date","url","id","title_rt","year_rt","genre_rt","mpaa_rating","runtime_rt","critics_rating","critics_score","audience_rating","audience_score","actor1","actor2","actor3","actor4","actor5","director_rt","studio","link"
"Deep Throat Part II","Feature Film","Joe Sarno",4.6,88,"1974",340,"1974-02","http://www.imdb.com/title/tt0069957/","0069957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Rocketeer","Feature Film","Joe Johnston",6.4,108,"1991",42050,"1991-06-19","http://www.imdb.com/title/tt0102803/","0102803","The Rocketeer",1991,"Drama","PG","109","Fresh",61,"Upright",65,"Billy Campbell","William Campbell","Jennifer Connelly","Alan Arkin","Timothy Dalton","Joe Johnston","Walt Disney Productions","http://www.rottentomatoes.com/m/rocketeer/"
"Somersault","Feature Film","Cate Shortland",6.8,106,"2004",6099,"2004-05-17","http://www.imdb.com/title/tt0381429/","0381429","Somersault",2004,"Drama","Unrated","106","Certified Fresh",83,"Upright",71,"Abbie Cornish","Sam Worthington","Lynette Curran","Nathaniel Dean","Erik Thomson","Cate Shortland","Magnolia Pictures","http://www.rottentomatoes.com/m/somersault/"
"Trading Places","Feature Film","John Landis",7.5,116,"1983",95752,"1983-06-08","http://www.imdb.com/title/tt0086465/","0086465","Trading Places",1983,"Comedy","R","118","Certified Fresh",88,"Upright",85,"Dan Aykroyd","Eddie Murphy","Ralph Bellamy","Don Ameche","Jamie Lee Curtis","John Landis","Paramount Pictures","http://www.rottentomatoes.com/m/trading_places/"
"The Nine Lives of Fritz the Cat","Feature Film","Robert Taylor",5.4,77,"1974",1904,"1974-06-26","http://www.imdb.com/title/tt0071913/","0071913","The Nine Lives of Fritz the Cat",1974,"Comedy","R","76","Rotten",43,"Spilled",40,"Pat Harrington Jr.","Bob Holt","Robert Ridgely","Reva Rose","Fred Smoot","Robert Taylor (III)","American International Pictures","http://www.rottentomatoes.com/m/nine_lives_of_fritz_the_cat/"
"Day of the Dead","Feature Film","George A. Romero",7.2,96,"1985",47080,"1985-07-03","http://www.imdb.com/title/tt0088993/","0088993","Day of the Dead",1985,"Horror","Unrated","96","Fresh",82,"Upright",75,"Lori Cardille","Terry Alexander","Joseph Pilato","Jarlath Conroy","Jarleth Conroy","George A. Romero","United Film Distribution Compa","http://www.rottentomatoes.com/m/1005360-day_of_the_dead/"
"Everyone's Hero","Feature Film","Colin Brady, Christopher Reeve",5.8,88,"2006",5918,"2006-09-15","http://www.imdb.com/title/tt0430779/","0430779","Everyone's Hero",2006,"Action & Adventure","G","87","Rotten",41,"Spilled",44,"Jake T. Austin","Raven","Whoopi Goldberg","Rob Reiner","William H. Macy","Christopher Reeve","20th Century Fox","http://www.rottentomatoes.com/m/everyones_hero/"
"Walk the Line","Feature Film","James Mangold",7.9,136,"2005",180516,"2005-09-04","http://www.imdb.com/title/tt0358273/","0358273","Walk the Line",2005,"Drama","PG-13","94","Certified Fresh",82,"Upright",90,"Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","Robert Patrick","Dallas Roberts","James Mangold","20th Century Fox","http://www.rottentomatoes.com/m/walk_the_line/"
"Clerks II","Feature Film","Kevin Smith",7.4,97,"2006",110624,"2006-05-26","http://www.imdb.com/title/tt0424345/","0424345","Clerks II",2006,"Drama","R","97","Fresh",63,"Upright",84,"Brian O'Halloran","Jeff Anderson","Rosario Dawson","Jason Mewes","Kevin Smith","Kevin Smith","MGM","http://www.rottentomatoes.com/m/clerks_2/"
"Headhunters","Feature Film","Morten Tyldum",7.6,100,"2011",73941,"2011-08-04","http://www.imdb.com/title/tt1614989/","1614989","Headhunters",2012,"Action & Adventure","R","101","Certified Fresh",92,"Upright",85,"Nikolaj Coster-Waldau","Aksel Hennie","Eivind Sander","Julie R Olgaard","Synnove Macody Lund","Morten Tyldum","Magnolia Pictures","http://www.rottentomatoes.com/m/headhunters/"
"Red Rock West","Feature Film","John Dahl",7,98,"1993",14892,"1993-05-14","http://www.imdb.com/title/tt0105226/","0105226","Red Rock West",1993,"Mystery & Suspense","R","97","Fresh",95,"Upright",74,"Nicolas Cage","Dennis Hopper","Lara Flynn Boyle","J.T. Walsh","Timothy Carhart","John Dahl","Sony Pictures Home Entertainment","http://www.rottentomatoes.com/m/red_rock_west/"
"Night and the City","Feature Film","Irwin Winkler",5.8,105,"1992",3627,"1992-10-11","http://www.imdb.com/title/tt0105001/","0105001","Night and the City",1992,"Drama","R","110","Fresh",67,"Spilled",31,"Robert De Niro","Jessica Lange","Cliff Gorman","Alan King","Eli Wallach","Irwin Winkler","Twentieth Century Fox Home Entertainment","http://www.rottentomatoes.com/m/1040890-night_and_the_city/"
"The Legend of Bagger Vance","Feature Film","Robert Redford",6.7,126,"2000",43275,"2000-10-29","http://www.imdb.com/title/tt0146984/","0146984","The Legend of Bagger Vance",2000,"Drama","PG-13","127","Rotten",43,"Upright",65,"Matt Damon","Will Smith","Charlize Theron","Bruce McGill","Joel Gretsch","Robert Redford","DreamWorks SKG","http://www.rottentomatoes.com/m/legend_of_bagger_vance/"
"Saint Jack","Feature Film","Peter Bogdanovich",7.1,112,"1979",872,"1979-04-27","http://www.imdb.com/title/tt0079843/","0079843","Saint Jack",1979,"Drama","R","112","Fresh",62,"Upright",74,"Ben Gazzara","Denholm Elliott","James Villiers","Joss Ackland","Rodney Bewes","Peter Bogdanovich","New Concorde Home Entertainment","http://www.rottentomatoes.com/m/saint_jack/"
"Dreamer: Inspired by a True Story","Feature Film","John Gatins",6.9,106,"2005",9623,"2005-09-10","http://www.imdb.com/title/tt0418647/","0418647","Dreamer: Inspired by a True Story",2005,"Drama","PG","98","Fresh",64,"Upright",78,"Kurt Russell","Dakota Fanning","Kris Kristofferson","Elisabeth Shue","Luis Guzman","John Gatins","Dreamworks","http://www.rottentomatoes.com/m/dreamer/"
"Cruel Intentions","Feature Film","Roger Kumble",6.9,97,"1999",142231,"1999-03-05","http://www.imdb.com/title/tt0139134/","0139134","Cruel Intentions",1999,"Drama","R","94","Rotten",49,"Upright",81,"Ryan Phillippe","Sarah Michelle Gellar","Reese Witherspoon","Selma Blair","Louise Fletcher","Roger Kumble","Columbia Pictures","http://www.rottentomatoes.com/m/cruel_intentions/"
"Tormented","Feature Film","Jon Wright",5.2,91,"2009",5255,"2009-05-22","http://www.imdb.com/title/tt1100053/","1100053","Tormented",2009,"Horror","R","91","Fresh",70,"Spilled",33,"Alex Pettyfer","April Pearson","Chris Wilson","Dimitri Leonidas","Calvin Dean","Jon Wright","Pathe Distribution","http://www.rottentomatoes.com/m/10011243-tormented/"
"Dead Man Walking","Feature Film","Tim Robbins",7.6,122,"1995",70319,"1995-12-29","http://www.imdb.com/title/tt0112818/","0112818","Dead Man Walking",1995,"Mystery & Suspense","R","120","Certified Fresh",95,"Upright",86,"Susan Sarandon","Sean Penn","Robert Prosky","Raymond J. Barry","R. Lee Ermey","Tim Robbins","Gramercy Pictures","http://www.rottentomatoes.com/m/1068779-dead_man_walking/"
"Your Friends & Neighbors","Feature Film","Neil LaBute",6.4,100,"1998",6945,"1998-08-19","http://www.imdb.com/title/tt0119517/","0119517","Your Friends & Neighbors",1998,"Drama","R","91","Certified Fresh",77,"Upright",63,"Amy Brenneman","Aaron Eckhart","Catherine Keener","Nastassja Kinski","Jason Patric","Neil LaBute","Gramercy","http://www.rottentomatoes.com/m/your_friends_and_neighbors/"
"Cleanskin","Feature Film","Hadi Hajaig",6.3,108,"2012",16940,"2012-03-09","http://www.imdb.com/title/tt1598873/","1598873","Cleanskin",2012,"Mystery & Suspense","Unrated","108","Rotten",53,"Upright",66,"Sean Bean","Abhin Galeya","Charlotte Rampling","Peter Polycarpou","Tuppence Middleton","Hadi Hajaig","Warner Bros. Pictures","http://www.rottentomatoes.com/m/cleanskin/"
"Time Bandits","Feature Film","Terry Gilliam",7,116,"1981",43338,"1981-07-10","http://www.imdb.com/title/tt0081633/","0081633","Time Bandits",1981,"Action & Adventure","PG","110","Certified Fresh",91,"Upright",77,"John Cleese","Sean Connery","Shelley Duvall","Katherine Helmond","Ian Holm","Terry Gilliam","Paramount Home Video","http://www.rottentomatoes.com/m/time_bandits/"
"Frozen River","Feature Film","Courtney Hunt",7.2,97,"2008",21158,"2008-01-18","http://www.imdb.com/title/tt0978759/","0978759","Frozen River",2008,"Drama","R","97","Certified Fresh",88,"Upright",74,"Melissa Leo","Misty Upham","Charlie McDermott","Michael O'Keefe","James Reilly","Courtney Hunt","Sony Pictures Classics","http://www.rottentomatoes.com/m/frozen_river/"
"Gypsy","TV Movie","Emile Ardolino",7.3,153,"1993",1213,"1993-12-12","http://www.imdb.com/title/tt0107065/","0107065","Gypsy",1993,"Musical & Performing Arts","Unrated","142","Rotten",40,"Upright",76,"Bette Midler","Peter Riegert","Cynthia Gibb","Jennifer Rae Beck","Edward Asner","Emile Ardolino","Cabin Fever Entertainment","http://www.rottentomatoes.com/m/1045328-gypsy/"
"Shottas","Feature Film","Cess Silvera",6.1,95,"2002",3223,"2002-02-27","http://www.imdb.com/title/tt0281190/","0281190","Shottas",2006,"Drama","R","95","Rotten",19,"Upright",91,"Ky-Mani Marley","Paul Campbell","Spragga Benz","Tyson Beckford","Wyclef Jean","Cess Silvera","Sony Pictures","http://www.rottentomatoes.com/m/shottas/"
"Islands in the Stream","Feature Film","Franklin J. Schaffner",6.6,104,"1977",964,"1977-03-09","http://www.imdb.com/title/tt0076211/","0076211","Islands in the Stream",1977,"Drama","PG","104","Fresh",80,"Upright",67,"George C. Scott","Claire Bloom","David Hemmings","Gilbert Roland","Susan Tyrrell","Franklin J. Schaffner","Paramount Pictures","http://www.rottentomatoes.com/m/1010762-islands_in_the_stream/"
"Kill Bill: Vol. 2","Feature Film","Quentin Tarantino",8,137,"2004",473208,"2004-04-16","http://www.imdb.com/title/tt0378194/","0378194","Kill Bill: Volume 2",2004,"Drama","R","137","Certified Fresh",84,"Upright",89,"Uma Thurman","David Carradine","Michael Madsen","Daryl Hannah","Gordon Liu","Quentin Tarantino","Miramax Films","http://www.rottentomatoes.com/m/kill_bill_volume_2/"
"A Far Off Place","Feature Film","Mikael Salomon",6.6,100,"1993",2714,"1993-03-12","http://www.imdb.com/title/tt0106868/","0106868","A Far Off Place",1993,"Action & Adventure","PG","107","Rotten",40,"Upright",70,"Reese Witherspoon","Sarel Bok","Jack Thompson","Maximilian Schell","Robert John Burke","Mikael Salomon","Buena Vista Pictures","http://www.rottentomatoes.com/m/far_off_place/"
"The Flamingo Kid","Feature Film","Garry Marshall",6.2,100,"1984",3807,"1984-12-21","http://www.imdb.com/title/tt0087265/","0087265","The Flamingo Kid",1984,"Drama","PG-13","105","Fresh",88,"Spilled",55,"Matt Dillon","Richard Crenna","Hector Elizondo","Molly McCarthy","Martha Gehman","Garry Marshall","Live Home Video","http://www.rottentomatoes.com/m/flamingo_kid/"
"The Black Bird","Feature Film","David Giler",5.3,110,"1975",362,"1975-12-25","http://www.imdb.com/title/tt0072706/","0072706","The Black Bird",1975,"Comedy","PG","98",NA,-1,"Spilled",43,"George Segal","Stephane Audran","Lionel Stander","Lee Patrick","Elisha Cook Jr.","David Giler","Columbia Pictures","http://www.rottentomatoes.com/m/black_bird/"
"The Flight of Dragons","Feature Film","Jules Bass, Arthur Rankin Jr.",7.8,96,"1982",4249,"1982-08-17","http://www.imdb.com/title/tt0083951/","0083951","The Flight of Dragons",1982,"Action & Adventure","Unrated","96",NA,-1,NA,92,"Victor Buono","Don McLean","James Earl Jones","Harry Morgan","John Ritter","Jules Bass","Warner Bros. Pictures","http://www.rottentomatoes.com/m/flight_of_dragons/"
"Brannigan","Feature Film","Douglas Hickox",6.1,111,"1975",3591,"1975-03-21","http://www.imdb.com/title/tt0072732/","0072732","Brannigan",1975,"Drama","R","111","Rotten",17,"Spilled",40,"John Wayne","Richard Attenborough","Judy Geeson","Mel Ferrer","Del Henney","Douglas Hickox","MGM Home Entertainment","http://www.rottentomatoes.com/m/brannigan/"
"Unforgiven","Feature Film","Clint Eastwood",8.3,131,"1992",256631,"1992-08-03","http://www.imdb.com/title/tt0105695/","0105695","Unforgiven",1992,"Western","R","131","Certified Fresh",95,"Upright",94,"Clint Eastwood","Gene Hackman","Morgan Freeman","Richard Harris","Saul Rubinek","Clint Eastwood","Warner Bros. Pictures","http://www.rottentomatoes.com/m/1041911-unforgiven/"
