rank,title,studio,inf_ad_bo
1,Gone with the Wind,MGM,1685052200
2,Star Wars,Fox,1485517400
3,The Sound of Music,Fox,1187744200
4,E.T.: The Extra-Terrestrial,Uni.,1183065200
5,Titanic,Par.,1129857100
6,The Ten Commandments,Par.,1092540000
7,Jaws,Uni.,1068177300
8,Doctor Zhivago,MGM,1035289700
9,The Exorcist,WB,922397100
10,Snow White and the Seven Dwarfs,Dis.,909060000
11,101 Dalmatians,Dis.,833309900
12,The Empire Strikes Back,Fox,818826500
13,Ben-Hur,MGM,817320000
14,Avatar,Fox,811108900
15,Return of the Jedi,Fox,784455500
16,Jurassic Park,Uni.,766629100
17,Star Wars: Episode I - The Phantom Menace,Fox,753202700
18,The Lion King,BV,743481200
19,The Sting,Uni.,743451400
20,Raiders of the Lost Ark,Par.,738313400
21,The Graduate,AVCO,713710100
22,Fantasia,Dis.,692582600
23,Jurassic World,Uni.,652091641
24,The Godfather,Par.,658214200
25,Forrest Gump,Par.,655628800
26,Mary Poppins,Dis.,652036400
27,Grease,Par.,641923100
28,Marvel's The Avengers,BV,641189300
29,Thunderball,UA,623832000
30,The Dark Knight,WB,620957700
31,The Jungle Book,Dis.,614490500
32,Sleeping Beauty,Dis.,606118300
33,Ghostbusters,Col.,593588900
34,Shrek 2,DW,592564700
35,Butch Cassidy and the Sundance Kid,Fox,588452500
36,Love Story,Par.,583784500
37,Spider-Man,Sony,579502800
38,Independence Day,Fox,577702400
39,Home Alone,Fox,564903200
40,Pinocchio,Dis.,562143800
41,Cleopatra (1963),Fox,560310100
42,Beverly Hills Cop,Par.,560031200
43,Goldfinger,UA,552942000
44,Airport,Uni.,551368100
45,American Graffiti,Uni.,548057100
46,The Robe,Fox,545890900
47,Pirates of the Caribbean: Dead Man's Chest,BV,539000600
48,Around the World in 80 Days,UA,538892300
49,Bambi,RKO,531361800
50,Blazing Saddles,WB,527418500
51,Batman,WB,525041500
52,The Bells of St. Mary's,RKO,523294100
53,The Lord of the Rings: The Return of the King,NL,514075100
54,Finding Nemo,BV,513631500
55,The Towering Inferno,Fox,511873000
56,Spider-Man 2,Sony,501724000
57,My Fair Lady,WB,500400000
58,The Greatest Show on Earth,Par.,500400000
59,National Lampoon's Animal House,Uni.,499484800
60,The Passion of the Christ,NM,497938400
61,Star Wars: Episode III - Revenge of the Sith,Fox,494767000
62,Back to the Future,Uni.,492482400
63,The Lord of the Rings: The Two Towers,NL,481428900
64,The Dark Knight Rises,WB,480232300
65,The Sixth Sense,BV,480209900
66,Superman,WB,478366800
67,Tootsie,Col.,474578900
68,Smokey and the Bandit,Uni.,473986600
69,West Side Story,MGM,466792200
70,Harry Potter and the Sorcerer's Stone,WB,466314300
71,Lady and the Tramp,Dis.,464828900
72,Close Encounters of the Third Kind,Col.,463500000
73,Lawrence of Arabia,Col.,461898800
74,The Rocky Horror Picture Show,Fox,459279000
75,Rocky,UA,459033400
76,The Best Years of Our Lives,RKO,458700000
77,The Poseidon Adventure,Fox,457882400
78,The Lord of the Rings: The Fellowship of the Ring,NL,457026000
79,Twister,WB,456099000
80,Men in Black,Sony,455503100
81,The Bridge on the River Kwai,Col.,453696000
82,Transformers: Revenge of the Fallen,P/DW,449533700
83,"It's a Mad, Mad, Mad, Mad World",MGM,449321000
84,Swiss Family Robinson,Dis.,448758700
85,One Flew Over the Cuckoo's Nest,UA,447735900
86,M.A.S.H.,Fox,447726300
87,Indiana Jones and the Temple of Doom,Par.,446463700
88,Avengers: Age of Ultron,BV,459005868
