"position","const","created","modified","description","Title","Title.type","Directors","ForPeopleNotSheeple.rated","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
5402,"tt0079489","Mon Apr 22 18:40:18 2013","Mon Apr 22 18:40:18 2013","","Love at First Bite","Feature Film","Stan Dragoti",NA,6.1,96,"1979","comedy, romance",4165,"1979-04-13","http://www.imdb.com/title/tt0079489/","0079489"
8815,"tt0119781","Mon Apr 29 19:23:52 2013","Mon Apr 29 19:23:52 2013","","Nick Fury: Agent of Shield","TV Movie","Rod Hardy",NA,3.7,120,"1998","action, sci_fi",1987,"1998-05-26","http://www.imdb.com/title/tt0119781/","0119781"
4920,"tt0245046","Mon Apr 22 18:38:55 2013","Mon Apr 22 18:38:55 2013","","Charlotte Gray","Feature Film","Gillian Armstrong",NA,6.4,121,"2001","drama, romance, thriller, war",8687,"2001-12-17","http://www.imdb.com/title/tt0245046/","0245046"
7533,"tt0259072","Thu Apr 25 03:01:06 2013","Thu Apr 25 03:01:06 2013","","A Time for Drunken Horses","Feature Film","Bahman Ghobadi",NA,7.7,80,"2000","drama, war",4998,"2000-05","http://www.imdb.com/title/tt0259072/","0259072"
5798,"tt0088683","Mon Apr 22 18:41:20 2013","Mon Apr 22 18:41:20 2013","","Agnes of God","Feature Film","Norman Jewison",NA,6.6,98,"1985","drama, mystery",5230,"1985-08-21","http://www.imdb.com/title/tt0088683/","0088683"
4094,"tt0120142","Mon Apr 22 18:36:45 2013","Mon Apr 22 18:36:45 2013","","The Sixth Man","Feature Film","Randall Miller",NA,5.6,107,"1997","comedy, drama, fantasy, romance, sport",4276,"1997-03-28","http://www.imdb.com/title/tt0120142/","0120142"
916,"tt0302640","Mon Apr 22 18:27:03 2013","Mon Apr 22 18:27:03 2013","","The Hot Chick","Feature Film","Tom Brady",NA,5.5,104,"2002","comedy, fantasy",70913,"2002-12-02","http://www.imdb.com/title/tt0302640/","0302640"
1333,"tt0368008","Mon Apr 22 18:27:58 2013","Mon Apr 22 18:27:58 2013","","The Manchurian Candidate","Feature Film","Jonathan Demme",5,6.6,129,"2004","drama, mystery, sci_fi, thriller",83146,"2004-07-22","http://www.imdb.com/title/tt0368008/","0368008"
3282,"tt0099141","Mon Apr 22 18:34:18 2013","Mon Apr 22 18:34:18 2013","","Bird on a Wire","Feature Film","John Badham",5,5.8,110,"1990","action, comedy",29066,"1990-05-18","http://www.imdb.com/title/tt0099141/","0099141"
3912,"tt0119326","Mon Apr 22 18:36:18 2013","Mon Apr 22 18:36:18 2013","","How to Be a Player","Feature Film","Lionel C. Martin",NA,5.2,93,"1997","comedy",2166,"1997-08-06","http://www.imdb.com/title/tt0119326/","0119326"
5576,"tt0072725","Mon Apr 22 18:40:21 2013","Mon Apr 22 18:40:21 2013","","Boss Nigger","Feature Film","Jack Arnold",NA,7,87,"1975","comedy, western",1658,"1975-02-26","http://www.imdb.com/title/tt0072725/","0072725"
8453,"tt0101798","Mon Apr 29 18:17:01 2013","Mon Apr 29 18:17:01 2013","","Edward II","Feature Film","Derek Jarman",NA,7,87,"1991","drama, history",1855,"1991-09-03","http://www.imdb.com/title/tt0101798/","0101798"
979,"tt1016075","Mon Apr 22 18:27:03 2013","Mon Apr 22 18:27:03 2013","","Fame","Feature Film","Kevin Tancharoen",NA,5,107,"2009","comedy, drama, musical, romance",13549,"2009-09-23","http://www.imdb.com/title/tt1016075/","1016075"
823,"tt2042568","Mon Apr 22 18:26:35 2013","Mon Apr 22 18:26:35 2013","","Inside Llewyn Davis","Feature Film","Ethan Coen, Joel Coen",NA,7.4,104,"2013","drama, music",83633,"2013-05-19","http://www.imdb.com/title/tt2042568/","2042568"
9856,"tt2091430","Thu Feb 12 09:05:50 2015","Thu Feb 12 09:05:50 2015","","The Cannonball Run","Feature Film","Guy Ritchie",NA,NA,NA,"????","action, comedy",NA,"","http://www.imdb.com/title/tt2091430/","2091430"
4593,"tt0078846","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","Beneath the Valley of the Ultra-Vixens","Feature Film","Russ Meyer",NA,5.7,93,"1979","comedy",2232,"1979-04","http://www.imdb.com/title/tt0078846/","0078846"
6442,"tt0077381","Mon Apr 22 18:43:09 2013","Mon Apr 22 18:43:09 2013","","Crossed Swords","Feature Film","Richard Fleischer",NA,6.5,113,"1977","adventure, comedy, drama, family",1151,"1977-06-03","http://www.imdb.com/title/tt0077381/","0077381"
1300,"tt0120082","Mon Apr 22 18:27:58 2013","Mon Apr 22 18:27:58 2013","","Scream 2","Feature Film","Wes Craven",NA,6.1,120,"1997","horror, mystery",118364,"1997-12-10","http://www.imdb.com/title/tt0120082/","0120082"
7109,"tt0120184","Thu Apr 25 02:59:57 2013","Thu Apr 25 02:59:57 2013","","Sphere","Feature Film","Barry Levinson",NA,6,134,"1998","drama, mystery, sci_fi, thriller",76781,"1998-02-13","http://www.imdb.com/title/tt0120184/","0120184"
6878,"tt1650062","Thu Apr 25 02:59:02 2013","Thu Apr 25 02:59:02 2013","","Super 8","Feature Film","J.J. Abrams",5,7.1,112,"2011","mystery, sci_fi, thriller",271079,"2011-06-09","http://www.imdb.com/title/tt1650062/","1650062"
7432,"tt0186253","Thu Apr 25 03:01:04 2013","Thu Apr 25 03:01:04 2013","","Jesus' Son","Feature Film","Alison Maclean",NA,7,107,"1999","drama",6132,"1999-09-05","http://www.imdb.com/title/tt0186253/","0186253"
7577,"tt0067321","Thu Apr 25 03:01:33 2013","Thu Apr 25 03:01:33 2013","","Lady Frankenstein","Feature Film","Mel Welles",NA,4.9,93,"1971","horror",1120,"1971-10-22","http://www.imdb.com/title/tt0067321/","0067321"
5551,"tt0090930","Mon Apr 22 18:40:21 2013","Mon Apr 22 18:40:21 2013","","Demons 2","Feature Film","Lamberto Bava",NA,5.9,88,"1986","horror",6101,"1986-10-09","http://www.imdb.com/title/tt0090930/","0090930"
1745,"tt0372532","Mon Apr 22 18:29:05 2013","Mon Apr 22 18:29:05 2013","","The Wedding Date","Feature Film","Clare Kilner",NA,6.1,90,"2005","comedy, romance",35155,"2005-01-27","http://www.imdb.com/title/tt0372532/","0372532"
9030,"tt0073418","Mon Apr 29 19:24:18 2013","Mon Apr 29 19:24:18 2013","","Murder on Flight 502","TV Movie","George McCowan",NA,5.3,97,"1975","drama, mystery, thriller",348,"1975-11-21","http://www.imdb.com/title/tt0073418/","0073418"
6164,"tt0098188","Mon Apr 22 18:42:13 2013","Mon Apr 22 18:42:13 2013","","Renegades","Feature Film","Jack Sholder",NA,5.3,106,"1989","action, crime, drama, thriller",2303,"1989-06-02","http://www.imdb.com/title/tt0098188/","0098188"
4184,"tt0113613","Mon Apr 22 18:36:46 2013","Mon Apr 22 18:36:46 2013","","The Last Supper","Feature Film","Stacy Title",NA,6.8,92,"1995","comedy, crime, drama, thriller",11873,"1995-09-08","http://www.imdb.com/title/tt0113613/","0113613"
7896,"tt0120788","Mon Apr 29 17:39:17 2013","Mon Apr 29 17:39:17 2013","","Permanent Midnight","Feature Film","David Veloz",NA,6.3,88,"1998","biography, drama, romance",5889,"1998-09-12","http://www.imdb.com/title/tt0120788/","0120788"
3076,"tt0090887","Mon Apr 22 18:33:49 2013","Mon Apr 22 18:33:49 2013","","Critters","Feature Film","Stephen Herek",NA,6,82,"1986","action, comedy, horror, sci_fi, thriller",22454,"1986-04-11","http://www.imdb.com/title/tt0090887/","0090887"
7279,"tt0087910","Thu Apr 25 03:00:31 2013","Thu Apr 25 03:00:31 2013","","The Philadelphia Experiment","Feature Film","Stewart Raffill",NA,6.1,102,"1984","adventure, biography, drama, fantasy, romance, sci_fi, thriller",10688,"1984-08-03","http://www.imdb.com/title/tt0087910/","0087910"
2139,"tt0410097","Mon Apr 22 18:29:58 2013","Mon Apr 22 18:29:58 2013","","Hustle & Flow","Feature Film","Craig Brewer",NA,7.4,116,"2005","crime, drama, music",32418,"2005-01","http://www.imdb.com/title/tt0410097/","0410097"
4571,"tt0099566","Mon Apr 22 18:37:51 2013","Mon Apr 22 18:37:51 2013","","The Field","Feature Film","Jim Sheridan",NA,7.4,107,"1990","drama, thriller",3977,"1990-09-13","http://www.imdb.com/title/tt0099566/","0099566"
2640,"tt0111149","Mon Apr 22 18:31:23 2013","Mon Apr 22 18:31:23 2013","","Shallow Grave","Feature Film","Danny Boyle",6,7.4,92,"1994","crime, thriller",43352,"1994-12-22","http://www.imdb.com/title/tt0111149/","0111149"
3676,"tt0089730","Mon Apr 22 18:35:47 2013","Mon Apr 22 18:35:47 2013","","Once Bitten","Feature Film","Howard Storm",NA,5.4,94,"1985","comedy, horror",9488,"1985-11-15","http://www.imdb.com/title/tt0089730/","0089730"
7888,"tt0094747","Mon Apr 29 17:39:17 2013","Mon Apr 29 17:39:17 2013","","Bird","Feature Film","Clint Eastwood",NA,7.3,161,"1988","biography, drama, music",8651,"1988-05","http://www.imdb.com/title/tt0094747/","0094747"
1410,"tt1305591","Mon Apr 22 18:27:59 2013","Mon Apr 22 18:27:59 2013","","Mars Needs Moms","Feature Film","Simon Wells",NA,5.4,88,"2011","animation, action, adventure, comedy, family, sci_fi",16776,"2011-03-09","http://www.imdb.com/title/tt1305591/","1305591"
4701,"tt0380609","Mon Apr 22 18:38:24 2013","Mon Apr 22 18:38:24 2013","","P.S.","Feature Film","Dylan Kidd",NA,6.3,97,"2004","comedy, drama, fantasy, romance",4964,"2004-09-03","http://www.imdb.com/title/tt0380609/","0380609"
4396,"tt0097373","Mon Apr 22 18:37:19 2013","Mon Apr 22 18:37:19 2013","","For Queen & Country","Feature Film","Martin Stellman",NA,5.7,105,"1988","crime, drama",1661,"1988-05-17","http://www.imdb.com/title/tt0097373/","0097373"
6093,"tt0074798","Mon Apr 22 18:41:47 2013","Mon Apr 22 18:41:47 2013","","Lifeguard","Feature Film","Daniel Petrie",NA,6.6,96,"1976","drama",767,"1976-07-23","http://www.imdb.com/title/tt0074798/","0074798"
5266,"tt0120478","Mon Apr 22 18:39:51 2013","Mon Apr 22 18:39:51 2013","","Star Kid","Feature Film","Manny Coto",NA,5.4,101,"1997","adventure, sci_fi, family",1824,"1997-11-13","http://www.imdb.com/title/tt0120478/","0120478"
5613,"tt0087265","Mon Apr 22 18:40:48 2013","Mon Apr 22 18:40:48 2013","","The Flamingo Kid","Feature Film","Garry Marshall",NA,6.2,100,"1984","comedy, drama, romance",3807,"1984-12-21","http://www.imdb.com/title/tt0087265/","0087265"
3807,"tt0115744","Mon Apr 22 18:35:49 2013","Mon Apr 22 18:35:49 2013","","Brassed Off","Feature Film","Mark Herman",NA,7.1,107,"1996","comedy, drama, romance",15433,"1996-11-01","http://www.imdb.com/title/tt0115744/","0115744"
4939,"tt0119361","Mon Apr 22 18:38:55 2013","Mon Apr 22 18:38:55 2013","","In the Company of Men","Feature Film","Neil Labute",NA,7.3,97,"1997","comedy, drama",11279,"1997-01-19","http://www.imdb.com/title/tt0119361/","0119361"
5467,"tt0357470","Mon Apr 22 18:40:19 2013","Mon Apr 22 18:40:19 2013","","The Battle of Shaker Heights","Feature Film","Efram Potelle, Kyle Rankin",NA,6.1,79,"2003","drama, romance, comedy",3708,"2003-08-22","http://www.imdb.com/title/tt0357470/","0357470"
3198,"tt0477095","Mon Apr 22 18:33:51 2013","Mon Apr 22 18:33:51 2013","","Starter for 10","Feature Film","Tom Vaughan",NA,6.8,92,"2006","comedy, drama, romance",15996,"2006-09-13","http://www.imdb.com/title/tt0477095/","0477095"
1663,"tt0091059","Mon Apr 22 18:29:04 2013","Mon Apr 22 18:29:04 2013","","Flight of the Navigator","Feature Film","Randal Kleiser",NA,6.9,90,"1986","adventure, family, sci_fi",32367,"1986-07-30","http://www.imdb.com/title/tt0091059/","0091059"
1254,"tt2278388","Mon Apr 22 18:27:30 2013","Mon Apr 22 18:27:30 2013","","The Grand Budapest Hotel","Feature Film","Wes Anderson",NA,8.1,99,"2014","adventure, comedy, drama",402807,"2014-02-06","http://www.imdb.com/title/tt2278388/","2278388"
5190,"tt0081738","Mon Apr 22 18:39:25 2013","Mon Apr 22 18:39:25 2013","","The Watcher in the Woods","Feature Film","John Hough",NA,6.5,84,"1980","family, horror, mystery, thriller",3731,"1980-04-17","http://www.imdb.com/title/tt0081738/","0081738"
3012,"tt0425253","Mon Apr 22 18:33:24 2013","Mon Apr 22 18:33:24 2013","","Mini's First Time","Feature Film","Nick Guthe",NA,5.9,91,"2006","comedy, crime, drama",7017,"2006-05-01","http://www.imdb.com/title/tt0425253/","0425253"
1580,"tt1114740","Mon Apr 22 18:28:28 2013","Mon Apr 22 18:28:28 2013","","Paul Blart: Mall Cop","Feature Film","Steve Carr",4,5.2,91,"2009","action, comedy, crime",79794,"2009-01-06","http://www.imdb.com/title/tt1114740/","1114740"
7027,"tt0100150","Thu Apr 25 02:59:04 2013","Thu Apr 25 02:59:04 2013","","Miller's Crossing","Feature Film","Joel Coen",8,7.9,115,"1990","crime, drama, thriller",98432,"1990-08","http://www.imdb.com/title/tt0100150/","0100150"
9149,"tt0285627","Mon Apr 29 19:24:19 2013","Mon Apr 29 19:24:19 2013","","Daria in 'Is It College Yet?'","TV Movie","Karen Disher",NA,8.2,90,"2002","animation, comedy, romance",2235,"2002-01-21","http://www.imdb.com/title/tt0285627/","0285627"
5815,"tt0096030","Mon Apr 22 18:41:20 2013","Mon Apr 22 18:41:20 2013","","Salsa","Feature Film","Boaz Davidson",NA,4.8,97,"1988","romance, music",802,"1988-05-07","http://www.imdb.com/title/tt0096030/","0096030"
1726,"tt0289992","Mon Apr 22 18:29:05 2013","Mon Apr 22 18:29:05 2013","","The Life of David Gale","Feature Film","Alan Parker",NA,7.5,130,"2003","crime, drama, thriller",83475,"2003-02-07","http://www.imdb.com/title/tt0289992/","0289992"
6831,"tt0988595","Mon Apr 22 22:45:13 2013","Mon Apr 22 22:45:13 2013","","27 Dresses","Feature Film","Anne Fletcher",NA,6.1,111,"2008","comedy, romance",115371,"2008-01-09","http://www.imdb.com/title/tt0988595/","0988595"
