"position","const","created","modified","description","Title","Title.type","Directors","IMDb.Rating","Runtime..mins.","Year","Genres","Num..Votes","Release.Date..month.day.year.","URL","id"
7540,"tt0105652","Thu Apr 25 03:01:06 2013","Thu Apr 25 03:01:06 2013","","Pushing Hands","Feature Film","Ang Lee",7.3,105,"1992","comedy, drama",2407,"1992-02","http://www.imdb.com/title/tt0105652/","0105652"
155,"tt1869425","Mon Apr 22 18:23:22 2013","Mon Apr 22 18:23:22 2013","","Filly Brown","Feature Film","Youssef Delara, Michael D. Olmos",5.5,80,"2012","drama, music",899,"2012-01-20","http://www.imdb.com/title/tt1869425/","1869425"
292,"tt0285569","Tue May  8 09:34:44 2012","Tue May  8 09:34:44 2012","","The Force of Evil","TV Movie","Richard Lang",7.4,100,"1977","thriller",65,"1977-03-13","http://www.imdb.com/title/tt0285569/","0285569"
3989,"tt0205873","Mon Apr 22 18:36:19 2013","Mon Apr 22 18:36:19 2013","","The Dish","Feature Film","Rob Sitch",7.3,101,"2000","comedy, drama, history",12285,"2000-09-15","http://www.imdb.com/title/tt0205873/","0205873"
3806,"tt0118111","Mon Apr 22 18:35:49 2013","Mon Apr 22 18:35:49 2013","","Waiting for Guffman","Feature Film","Christopher Guest",7.6,84,"1996","comedy",22381,"1996-08-21","http://www.imdb.com/title/tt0118111/","0118111"
7108,"tt0106226","Thu Apr 25 02:59:57 2013","Thu Apr 25 02:59:57 2013","","The Age of Innocence","Feature Film","Martin Scorsese",7.2,139,"1993","drama, romance",35096,"1993-08-31","http://www.imdb.com/title/tt0106226/","0106226"
78,"tt0069298","Sun Jan 15 18:12:08 2012","Sun Jan 15 18:12:08 2012","","Something Evil","TV Movie","Steven Spielberg",5.6,73,"1972","horror",929,"1972-01-21","http://www.imdb.com/title/tt0069298/","0069298"
3356,"tt1937388","Mon Apr 22 18:34:19 2013","Mon Apr 22 18:34:19 2013","","The Millionaire Tour","Feature Film","Inon Shampanier",6.4,84,"2012","action, thriller",2196,"2012-03-30","http://www.imdb.com/title/tt1937388/","1937388"
262,"tt1490637","Mon Apr 15 16:36:37 2013","Mon Apr 15 16:36:37 2013","","Dive!","Documentary","Jeremy Seifert",7.4,45,"2010","documentary, family",247,"2010-02-05","http://www.imdb.com/title/tt1490637/","1490637"
5469,"tt0388230","Mon Apr 22 18:40:19 2013","Mon Apr 22 18:40:19 2013","","Malevolence","Feature Film","Stevan Mena",5.1,90,"2003","crime, horror, mystery, thriller",2386,"2003","http://www.imdb.com/title/tt0388230/","0388230"
288,"tt1334549","Sun Apr 21 14:34:18 2013","Sun Apr 21 14:34:18 2013","Lee Chung-ryoul quote from an excerpt from an interview: ""Before the introduction of farm machinery to the countryside, our farms totally depended on oxen. This film portrays the core of Korean agricultural practices. Also, it shows aspects of traditional Korean culture, such as patriarchy, unequal conjugal relationships and the commitment of parents to educate their children at any cost. It also shows the affection for oxen, who are considered family members and collaborative partners, not just animals.""","Old Partner","Documentary","Chung-ryoul Lee",7.8,78,"2008","documentary",333,"2008-10-04","http://www.imdb.com/title/tt1334549/","1334549"
809,"tt0111868","Sun Apr 21 15:27:53 2013","Sun Apr 21 15:27:53 2013","","500 Nations","Mini-Series","",8.5,NA,"1995","history",375,"1995-04-20","http://www.imdb.com/title/tt0111868/","0111868"
6097,"tt0069966","Mon Apr 22 18:41:48 2013","Mon Apr 22 18:41:48 2013","","Detroit 9000","Feature Film","Arthur Marks",6.4,106,"1973","crime, drama, action",751,"1973-08","http://www.imdb.com/title/tt0069966/","0069966"
8386,"tt0091374","Mon Apr 29 18:16:33 2013","Mon Apr 29 18:16:33 2013","","Lady Jane","Feature Film","Trevor Nunn",7.2,142,"1986","biography, drama, history, romance",5016,"1986-02-07","http://www.imdb.com/title/tt0091374/","0091374"
3994,"tt0116953","Mon Apr 22 18:36:19 2013","Mon Apr 22 18:36:19 2013","","Mad Dog Time","Feature Film","Larry Bishop",5.5,93,"1996","comedy, crime, drama",2272,"1996-11-08","http://www.imdb.com/title/tt0116953/","0116953"
91,"tt2040281","Sun Apr 14 11:19:34 2013","Sun Apr 14 11:19:34 2013","","Beauty Is Embarrassing","Documentary","Neil Berkeley",7.5,88,"2012","documentary, biography, comedy",880,"2012-03-10","http://www.imdb.com/title/tt2040281/","2040281"
2187,"tt1680114","Mon Apr 22 18:29:59 2013","Mon Apr 22 18:29:59 2013","","The Snowtown Murders","Feature Film","Justin Kurzel",6.6,119,"2011","crime, drama",12496,"2011-05-16","http://www.imdb.com/title/tt1680114/","1680114"
859,"tt0081573","Mon Apr 22 18:27:02 2013","Mon Apr 22 18:27:02 2013","","Superman II","Feature Film","Richard Lester",6.8,127,"1980","action, sci_fi",71979,"1980-12-04","http://www.imdb.com/title/tt0081573/","0081573"
4070,"tt0104695","Mon Apr 22 18:36:44 2013","Mon Apr 22 18:36:44 2013","","Leap of Faith","Feature Film","Richard Pearce",6,108,"1992","comedy, drama, romance",9669,"1992-12-17","http://www.imdb.com/title/tt0104695/","0104695"
912,"tt0265666","Mon Apr 22 18:27:02 2013","Mon Apr 22 18:27:02 2013","","The Royal Tenenbaums","Feature Film","Wes Anderson",7.6,110,"2001","comedy, drama",201779,"2001-10-05","http://www.imdb.com/title/tt0265666/","0265666"
1148,"tt0220292","Sun Apr 21 15:28:31 2013","Sun Apr 21 15:28:31 2013","","Python Night: 30 Years of Monty Python","Documentary","Terry Jones, Elaine Shepherd",8.2,125,"1999","documentary, comedy",535,"1999-10-08","http://www.imdb.com/title/tt0220292/","0220292"
1960,"tt0462519","Mon Apr 22 18:29:31 2013","Mon Apr 22 18:29:31 2013","","School for Scoundrels","Feature Film","Todd Phillips",5.9,100,"2006","comedy",25808,"2006-09-29","http://www.imdb.com/title/tt0462519/","0462519"
