"position","const","created","modified","description","Title","Title type","Directors","ForPeopleNotSheeple rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1613092","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Happy","Documentary","Roko Belic","","7.2","76","2011","documentary, drama, family","2077","2011","http://www.imdb.com/title/tt1613092/"
"2","tt1223236","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","African Cats","Documentary","Alastair Fothergill, Keith Scholey","","7.6","89","2011","documentary, adventure","4995","2011-04-21","http://www.imdb.com/title/tt1223236/"
"3","tt0912583","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","For the Bible Tells Me So","Documentary","Daniel Karslake","","7.9","95","2007","documentary","3931","2007-01-21","http://www.imdb.com/title/tt0912583/"
"4","tt2125666","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Queen of Versailles","Documentary","Lauren Greenfield","","7.1","100","2012","documentary","10341","2012-01-19","http://www.imdb.com/title/tt2125666/"
"5","tt2125423","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Five Broken Cameras","Documentary","Emad Burnat, Guy Davidi","","8.0","94","2011","documentary","4751","2011-11-23","http://www.imdb.com/title/tt2125423/"
"6","tt2088919","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Atomic States of America","Documentary","Don Argott, Sheena M. Joyce","","6.3","95","2012","documentary, history, news","245","2012-01-23","http://www.imdb.com/title/tt2088919/"
"7","tt2125653","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The House I Live In","Documentary","Eugene Jarecki","","7.9","108","2012","documentary","4367","2012-01-21","http://www.imdb.com/title/tt2125653/"
"8","tt2093109","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Escape Fire: The Fight to Rescue American Healthcare","Documentary","Susan Froemke, Matthew Heineman","","7.2","95","2012","documentary, news","410","2012-01-20","http://www.imdb.com/title/tt2093109/"
"9","tt1736049","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","A Place at the Table","Documentary","Kristi Jacobson, Lori Silverbush","","6.9","84","2012","documentary","920","2012-01-22","http://www.imdb.com/title/tt1736049/"
"10","tt2124998","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","We're Not Broke","Documentary","Victoria Bruce, Karin Hayes","","7.3","81","2012","documentary","419","2012-01-22","http://www.imdb.com/title/tt2124998/"
"11","tt1746180","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Incident in New Baghdad","Documentary","James Spione","","6.7","22","2011","documentary, biography, war","61","2011-04-24","http://www.imdb.com/title/tt1746180/"
"12","tt1743720","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Greatest Movie Ever Sold","Documentary","Morgan Spurlock","","6.6","90","2011","documentary, comedy","12996","2011-01-22","http://www.imdb.com/title/tt1743720/"
"13","tt0361596","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Fahrenheit 9/11","Documentary","Michael Moore","8","7.5","122","2004","documentary, comedy, drama, war","110613","2004-05-17","http://www.imdb.com/title/tt0361596/"
"14","tt2129930","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Booker's Place: A Mississippi Story","Documentary","Raymond De Felitta","","7.9","90","2012","documentary, history, mystery, news","110","2012-04-22","http://www.imdb.com/title/tt2129930/"
"15","tt2072045","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Are All Men Pedophiles?","Documentary","Jan-Willem Breure","","6.4","70","2013","documentary","1624","2013-03-01","http://www.imdb.com/title/tt2072045/"
"16","tt1682181","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Bully","Documentary","Lee Hirsch","","7.4","98","2011","documentary","8689","2011-04-23","http://www.imdb.com/title/tt1682181/"
"17","tt1433813","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Hubble 3D","Documentary","Toni Myers","","7.8","44","2010","documentary","3307","2010-03-19","http://www.imdb.com/title/tt1433813/"
"18","tt1860355","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Undefeated","Documentary","Daniel Lindsay, T.J. Martin","","7.8","113","2011","documentary, sport","5557","2011-03-13","http://www.imdb.com/title/tt1860355/"
"19","tt0436078","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","The Aristocrats","Documentary","Paul Provenza","","6.4","89","2005","documentary, comedy","14939","2005-01","http://www.imdb.com/title/tt0436078/"
"20","tt0396102","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","Little Sister's vs. Big Brother","Documentary","Aerlyn Weissman","","6.6","71","2002","documentary","15","2002-08-08","http://www.imdb.com/title/tt0396102/"
"21","tt0896952","Sun Apr 14 11:19:32 2013","Sun Apr 14 11:19:32 2013","","My Enemy's Enemy","Documentary","Kevin Macdonald","","7.4","87","2007","documentary","474","2007-08-31","http://www.imdb.com/title/tt0896952/"
"22","tt0263338","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Fighter","Documentary","Amir Bar-Lev","","7.4","91","2000","documentary","208","2000-04","http://www.imdb.com/title/tt0263338/"
"23","tt0191182","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Hitler, a Career","Documentary","Joachim C. Fest, Christian Herrendoerfer","","7.7","150","1977","documentary","396","1977-07-08","http://www.imdb.com/title/tt0191182/"
"24","tt0243872","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Third Reich, in Color","Documentary","Michael Kloft","","8.4","105","1998","documentary, war","194","1998","http://www.imdb.com/title/tt0243872/"
"25","tt0420975","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Truth & Conviction","Documentary","Matt Whitaker","","9.1","60","2002","documentary","48","2002-11-10","http://www.imdb.com/title/tt0420975/"
"26","tt0396959","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Chernobyl Heart","Documentary","Maryann DeLeo","","8.0","39","2003","documentary","596","2003-08-22","http://www.imdb.com/title/tt0396959/"
"27","tt0084118","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","If You Love This Planet","Documentary","Terri Nash","","7.4","26","1982","documentary","100","1982-10","http://www.imdb.com/title/tt0084118/"
"28","tt0326306","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Trials of Henry Kissinger","Documentary","Eugene Jarecki","","7.7","80","2002","documentary","1668","2002-06-14","http://www.imdb.com/title/tt0326306/"
"29","tt1312203","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","102 Minutes That Changed America","Documentary","Nicole Rittenmeyer, Seth Skundrick","","8.3","98","2008","documentary, history","1513","2008-09-11","http://www.imdb.com/title/tt1312203/"
"30","tt0265871","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","This Is What Democracy Looks Like","Documentary","Jill Friedberg, Rick Rowley","","7.8","72","2000","documentary","322","2000-10-13","http://www.imdb.com/title/tt0265871/"
"31","tt0817498","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The Cult of the Suicide Bomber","Documentary","David Batty, Kevin Toolis","","7.4","96","2005","documentary","139","2005-08","http://www.imdb.com/title/tt0817498/"
"32","tt0774118","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Root of All Evil?","Documentary","Russell Barnes","","8.4","90","2006","documentary","2856","2006-01-09","http://www.imdb.com/title/tt0774118/"
"33","tt0426409","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","BattleGround: 21 Days on the Empire's Edge","Documentary","Stephen Marshall","","7.9","82","2004","documentary","123","2004-10-14","http://www.imdb.com/title/tt0426409/"
"34","tt0912585","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Ghosts of Abu Ghraib","Documentary","Rory Kennedy","","8.0","78","2007","documentary, history, war","764","2007-01-19","http://www.imdb.com/title/tt0912585/"
"35","tt1068634","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Body of War","Documentary","Phil Donahue, Ellen Spiro","","7.9","87","2007","documentary, war","511","2007-09-11","http://www.imdb.com/title/tt1068634/"
"36","tt0808532","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Hacking Democracy","Documentary","Simon Ardizzone, Russell Michaels","","7.9","82","2006","documentary","1087","2006-11-02","http://www.imdb.com/title/tt0808532/"
"37","tt1294790","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","The End of America","Documentary","Ricki Stern, Anne Sundberg","","7.5","","2008","documentary","739","2008-10","http://www.imdb.com/title/tt1294790/"
"38","tt0412631","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Death in Gaza","Documentary","James Miller","","8.2","80","2004","documentary","1076","2004-02-11","http://www.imdb.com/title/tt0412631/"
"39","tt0324451","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Violence: An American Tradition","Documentary","","","8.1","","1995","documentary","20","1995-11-21","http://www.imdb.com/title/tt0324451/"
"40","tt0368745","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Girlhood","Documentary","Liz Garbus","","7.3","82","2003","documentary, crime","403","2003-10-31","http://www.imdb.com/title/tt0368745/"
"41","tt0364930","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Aileen: Life and Death of a Serial Killer","Documentary","Nick Broomfield, Joan Churchill","7","7.2","93","2003","documentary, crime","4117","2003-05-10","http://www.imdb.com/title/tt0364930/"
"42","tt0281181","Sun Apr 14 11:19:33 2013","Sun Apr 14 11:19:33 2013","","Serial Killers","Documentary","Nick Bougas","","7.5","90","1994","documentary, biography, crime","81","1994","http://www.imdb.com/title/tt0281181/"
