"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0071120","Sun Jan 15 17:52:53 2012","Sun Jan 15 17:52:53 2012","","All the Kind Strangers","TV Movie","Burt Kennedy","5.9","73","1974","horror, thriller","369","1974-11-12","http://www.imdb.com/title/tt0071120/"
"2","tt0087479","Sun Jan 15 17:53:07 2012","Sun Jan 15 17:53:07 2012","","The Astral Factor","Feature Film","John Florea","3.7","85","1978","sci_fi, thriller","517","1978-02-01","http://www.imdb.com/title/tt0087479/"
"3","tt0092623","Sun Jan 15 17:53:22 2012","Sun Jan 15 17:53:22 2012","","Bay Coven","TV Movie","Carl Schenkel","5.3","95","1987","horror, thriller","404","1987-10-25","http://www.imdb.com/title/tt0092623/"
"4","tt0066836","Sun Jan 15 17:53:35 2012","Sun Jan 15 17:53:35 2012","","Black Noon","TV Movie","Bernard L. Kowalski","6.0","74","1971","horror, western","149","1971-11-05","http://www.imdb.com/title/tt0066836/"
"5","tt0084997","Sun Jan 15 17:53:51 2012","Sun Jan 15 17:53:51 2012","","Chiefs","Mini-Series","","8.2","200","1983","crime, drama, mystery, thriller","1169","1983-11-13","http://www.imdb.com/title/tt0084997/"
"6","tt0077325","Sun Jan 15 17:54:00 2012","Sun Jan 15 17:54:00 2012","","Child of Glass","TV Movie","John Erman","7.7","93","1978","drama, family, fantasy, horror","360","1978-05-14","http://www.imdb.com/title/tt0077325/"
"7","tt0065556","Sun Jan 15 17:54:12 2012","Sun Jan 15 17:54:12 2012","","City Beneath the Sea","TV Movie","Irwin Allen","5.4","98","1971","action, sci_fi","450","1971-01-25","http://www.imdb.com/title/tt0065556/"
"8","tt0087071","Sun Jan 15 17:54:23 2012","Sun Jan 15 17:54:23 2012","","The Cold Room","TV Movie","James Dearden","5.1","95","1984","drama, mystery, romance, thriller","172","1984-03-24","http://www.imdb.com/title/tt0087071/"
"9","tt0064177","Sun Jan 15 17:54:38 2012","Sun Jan 15 17:54:38 2012","","Colossus: The Forbin Project","Feature Film","Joseph Sargent","7.2","100","1970","sci_fi, thriller","5464","1970-04-08","http://www.imdb.com/title/tt0064177/"
"10","tt0065594","Sun Jan 15 17:54:48 2012","Sun Jan 15 17:54:48 2012","","Crowhaven Farm","TV Movie","Walter Grauman","6.7","74","1970","drama, horror","493","1970-11-24","http://www.imdb.com/title/tt0065594/"
