"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt2562232","Fri Feb 27 09:14:57 2015","Fri Feb 27 09:14:57 2015","","Birdman or (The Unexpected Virtue of Ignorance)","Feature Film","Alejandro G. Iñárritu","7.8","119","2014","comedy, drama","358917","2014-08-27","http://www.imdb.com/title/tt2562232/"
"2","tt2024544","Fri Feb 27 09:12:44 2015","Fri Feb 27 09:12:44 2015","","12 Years a Slave","Feature Film","Steve McQueen","8.1","134","2013","biography, drama, history","406400","2013-08-30","http://www.imdb.com/title/tt2024544/"
"3","tt1024648","Sun Feb 24 22:00:24 2013","Sun Feb 24 22:00:24 2013","","Argo","Feature Film","Ben Affleck","7.8","120","2012","biography, drama, history, thriller","431988","2012-08-31","http://www.imdb.com/title/tt1024648/"
"4","tt1655442","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","The Artist","Feature Film","Michel Hazanavicius","8.0","100","2011","comedy, drama, romance","183570","2011-05-15","http://www.imdb.com/title/tt1655442/"
"5","tt1504320","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","The King's Speech","Feature Film","Tom Hooper","8.0","118","2010","biography, drama, history","475803","2010-09-06","http://www.imdb.com/title/tt1504320/"
"6","tt0887912","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","The Hurt Locker","Feature Film","Kathryn Bigelow","7.6","131","2008","drama, history, thriller, war","318019","2008-09-04","http://www.imdb.com/title/tt0887912/"
"7","tt1010048","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","Slumdog Millionaire","Feature Film","Danny Boyle, Loveleen Tandan","8.0","120","2008","drama, romance","617341","2008-08-30","http://www.imdb.com/title/tt1010048/"
"8","tt0477348","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","No Country for Old Men","Feature Film","Ethan Coen, Joel Coen","8.1","122","2007","crime, drama, thriller","582091","2007-05-19","http://www.imdb.com/title/tt0477348/"
"9","tt0407887","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","The Departed","Feature Film","Martin Scorsese","8.5","151","2006","crime, drama, thriller","827816","2006-09-26","http://www.imdb.com/title/tt0407887/"
"10","tt0375679","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","Crash","Feature Film","Paul Haggis","7.9","112","2004","drama","352552","2004-09-10","http://www.imdb.com/title/tt0375679/"
"11","tt0405159","Thu Jul 19 11:09:06 2012","Thu Jul 19 11:09:06 2012","","Million Dollar Baby","Feature Film","Clint Eastwood","8.1","132","2004","drama, sport","459308","2004-12-15","http://www.imdb.com/title/tt0405159/"
