score,fatheriq,motheriq,speak,count,read,edutv,cartoons
159,115,117,18,26,1.9,3,2
164,117,113,20,37,2.5,1.75,3.25
154,115,118,20,32,2.2,2.75,2.5
157,113,131,12,24,1.7,2.75,2.25
156,110,109,17,34,2.2,2.25,2.5
150,113,109,13,28,1.9,1.25,3.75
155,118,119,19,24,1.8,2,3
161,117,120,18,32,2.3,2.25,2.5
163,111,128,22,28,2.1,1,4
162,122,120,18,27,2.1,2.25,2.75
154,111,117,19,32,2.2,1.75,3.75
159,112,120,20,33,2.3,2,2.75
167,119,126,20,35,2.2,0.75,4
155,120,114,22,21,1.7,2.5,2.5
159,114,129,17,27,1.8,1.5,3.75
159,111,118,18,29,2,1.75,3.25
160,111,115,21,32,2.3,1.75,3.25
154,115,111,18,32,2.2,2,3
160,126,111,12,35,2.2,2.75,1.75
151,115,109,21,29,2,2,2.75
166,114,124,15,39,2.4,2,2.75
161,115,122,20,30,2.1,2,3.5
162,115,118,15,33,2.3,2.25,2.75
169,112,121,23,36,2.3,2,2.75
160,115,124,18,35,2.3,2,3.5
161,117,118,20,31,2.3,2,3
166,116,128,17,36,2.4,1.25,3.75
163,114,119,22,36,2.4,2.25,2.75
159,116,123,15,24,1.8,1.5,3.5
155,111,117,13,29,2.1,1.75,3.5
155,112,117,17,25,2,2.75,2.25
157,115,111,10,31,2.2,1.75,3.5
151,111,101,17,29,2.1,3,2.25
162,119,113,23,28,2.1,1.25,3.5
164,111,121,18,36,2.3,1,4.5
159,114,123,20,30,2.2,1.75,3.25
